service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
111A-014AV,1,1,1,1,1,0,0,20200304,20200430
111A-0146M,0,0,0,0,0,1,0,20200307,20200502
111A-0147M,0,0,0,0,0,0,1,20200308,20200426
111A-014BM,1,1,0,1,1,0,0,20200309,20200417
111A-0143M,0,0,1,0,0,0,0,20200311,20200415
112A-015AV,1,1,1,1,1,0,0,20200304,20200430
112A-015BM,1,1,0,1,1,0,0,20200309,20200417
112A-0153M,0,0,1,0,0,0,0,20200311,20200415
115A-010AV,1,1,1,1,1,0,0,20200304,20200306
115A-011AM,1,1,1,1,1,0,0,20200309,20200417
118A-025AV,1,1,1,1,1,0,0,20200304,20200306
118A-0246M,0,0,0,0,0,1,0,20200307,20200307
118A-0247M,0,0,0,0,0,0,1,20200308,20200308
118A-026AM,1,1,1,1,1,0,0,20200309,20200417
118A-0256M,0,0,0,0,0,1,0,20200314,20200502
118A-0257M,0,0,0,0,0,0,1,20200315,20200426
11B-032AV,1,1,1,1,1,0,0,20200304,20200430
11B-0326M,0,0,0,0,0,1,0,20200307,20200502
11B-032AM,1,1,1,1,1,0,0,20200309,20200417
12B-032AV,1,1,1,1,1,0,0,20200304,20200430
12B-0326M,0,0,0,0,0,1,0,20200307,20200502
12B-0327M,0,0,0,0,0,0,1,20200308,20200426
12B-032AM,1,1,1,1,1,0,0,20200309,20200417
142A-004AV,1,1,1,1,1,0,0,20200304,20200430
142A-003AM,1,1,1,1,1,0,0,20200309,20200417
14B-027AM,1,1,1,1,1,0,0,20200304,20200306
14B-0276M,0,0,0,0,0,1,0,20200307,20200307
14B-0277M,0,0,0,0,0,0,1,20200308,20200308
14B-030AM,1,1,1,1,1,0,0,20200309,20200417
14B-0306M,0,0,0,0,0,1,0,20200314,20200502
14B-0307M,0,0,0,0,0,0,1,20200315,20200426
15B-022AM,1,1,1,1,1,0,0,20200304,20200430
15B-0226M,0,0,0,0,0,1,0,20200307,20200502
15B-0227M,0,0,0,0,0,0,1,20200308,20200426
