route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
ZI1Aa1,1,"ZI1","Gare de Venissieux --> St Priest Gare",REG - LZI - NOR - UTA,3,00FFFF
ZI1Ar4,1,"ZI1","St Priest Gare --> Gare de Venissieux.",REG - LZI - NOR - UTA,3,00FFFF
ZI1Ar2,1,"ZI1","St Priest Gare --> Gare de Venissieux.",REG - LZI - NOR - UTA,3,00FFFF
ZI2Aa1,1,"ZI2","Meyzieu Z.i. --> Z.I. Nord",REG - LZI - ZI - UTS,3,00FFFF
ZI2Ar2,1,"ZI2","Z.I. Nord --> Meyzieu Z.i.",REG - LZI - ZI - UTS,3,00FFFF
ZI2Aa3,1,"ZI2","Meyzieu Z.i. --> Z.I. Sud",REG - LZI - ZI - UTS,3,00FFFF
ZI2Ar4,1,"ZI2","Z.I. Sud --> Meyzieu Z.i.",REG - LZI - ZI - UTS,3,00FFFF
ZI3Ar6,1,"ZI3","Cite Tase --> Vaulx-en-Velin La Soie",REG - LZI - ZI - UTS,3,00FFFF
ZI3Aa3,1,"ZI3","Vaulx-en-Velin La Soie --> Z.I. Roosevelt",REG - LZI - ZI - UTS,3,00FFFF
ZI3Ar4,1,"ZI3","Z.I. Roosevelt --> Vaulx-en-Velin La Soie",REG - LZI - ZI - UTS,3,00FFFF
ZI3Aa1,1,"ZI3","Vaulx-en-Velin La Soie --> Z.I. Vaulx-en-Velin Est",REG - LZI - ZI - UTS,3,00FFFF
ZI3Ar2,1,"ZI3","Z.I. Vaulx-en-Velin Est --> Vaulx-en-Velin La Soie",REG - LZI - ZI - UTS,3,00FFFF
ZI3Aa5,1,"ZI3","Vaulx-en-Velin La Soie --> Cite Tase",REG - LZI - ZI - UTS,3,00FFFF
ZI4Aa1,1,"ZI4","Vaulx-en-Velin La Soie --> Caluire Chemin Petit",REG - LZI - ZI - UTS,3,00FFFF
ZI4Ar2,1,"ZI4","Caluire Chemin Petit --> Vaulx-en-Velin La Soie",REG - LZI - ZI - UTS,3,00FFFF
ZI5Ba1,1,"ZI5","Vaulx-en-Velin La Soie --> Rond-Point d'Italie",REG - LZI - NOR - UTS,3,00FFFF
ZI5Br2,1,"ZI5","Rond-Point d'Italie --> Vaulx-en-Velin La Soie",REG - LZI - NOR - UTS,3,00FFFF
ZI7Aa1,1,"ZI7","Vaulx-en-Velin La Soie --> Bron Droits de l'Homme",REG - LZI - NOR - UTS,3,00FFFF
ZI7Ar2,1,"ZI7","Bron Droits de l'Homme --> Vaulx-en-Velin La Soie",REG - LZI - NOR - UTS,3,00FFFF
ZI8Ar4,1,"ZI8","Parc des Lumieres --> St-Priest Jules Ferry",REG - LZI - ZI - UTA,3,00FFFF
ZI8Aa3,1,"ZI8","St-Priest Jules Ferry --> Parc des Lumieres 1",REG - LZI - ZI - UTA,3,00FFFF
ZI8Ar2,1,"ZI8","Parc des Lumieres 1 --> St-Priest Jules Ferry",REG - LZI - ZI - UTA,3,00FFFF
ZI8Aa1,1,"ZI8","St-Priest Jules Ferry --> Parc des Lumieres.",REG - LZI - ZI - UTA,3,00FFFF
ZI8Ar6,1,"ZI8","La Fouillouse Acacias --> Esplanade des Arts",REG - LZI - ZI - UTA,3,00FFFF
ZI8Aa5,1,"ZI8","Esplanade des Arts --> La Fouillouse Acacias",REG - LZI - ZI - UTA,3,00FFFF
GE2Ar4,1,"GE2","Solaize CRES --> Feyzin Gare",REG - GEX - ZI - UTA,3,00FFFF
GE2Aa1,1,"GE2","Feyzin Gare --> Solaize CRES",REG - GEX - ZI - UTA,3,00FFFF
GE4Aa1,1,"GE4","La Tour de Salvagny Gare --> Techlid Le Tronchon",TAD - GEX - ZI - UTV,3,00FFFF
GE4Ar2,1,"GE4","Techlid Le Tronchon --> La Tour de Salvagny Gare",TAD - GEX - ZI - UTV,3,00FFFF
GE6Aa1,1,"GE6","Charbonnieres Gare --> Charbonnieres Gare",REG - GEX - ZI - UTV,3,00FFFF
R2Aa1,1,"R2","Chantemerle --> Neuville",TAD - RES - NOR - UTV,3,00FFFF
R2Ar2,1,"R2","Neuville --> Chantemerle",TAD - RES - NOR - UTV,3,00FFFF
R3Aa3,1,"R3","Givors Hotel de Ville --> La Rama",TAD - RES - NOR - UTG,3,00FFFF
R3Ar4,1,"R3","La Rama --> Givors Hotel de Ville",TAD - RES - NOR - UTG,3,00FFFF
R3Ar2,1,"R3","Cimetiere de Givors --> Givors Hotel de Ville",TAD - RES - NOR - UTG,3,00FFFF
R3Aa1,1,"R3","Givors Hotel de Ville --> Cimetiere de Givors",TAD - RES - NOR - UTG,3,00FFFF
PL1Aa1,1,"PL1","Terreaux La Feuillee --> La Doua - INSA",REG - PLU - NUI - UTN,3,00FFFF
PL1Ar2,1,"PL1","Cite Internationale - Quai CDG --> Terreaux La Feuillee",REG - PLU - NUI - UTN,3,00FFFF
PL2Aa1,1,"PL2","Hotel de Ville - L. Pradel --> Grange Blanche",REG - PLU - NUI - UTP,3,00FFFF
PL3Aa1,1,"PL3","Hotel de Ville - L. Pradel --> Pontet Crases",REG - PLU - NUI - UTV,3,00FFFF
PL4Aa1,1,"PL4","Hotel de Ville - L. Pradel --> Saint-Priest Salengro",REG - PLU - NUI - UTA,3,00FFFF
S10Ar2,1,"S10","Lycee Jean Perrin --> Joannes Carret",REG - PRO - NAV - UTV,3,00FFFF
S10Aa1,1,"S10","Joannes Carret --> Lycee Jean Perrin",REG - PRO - NAV - UTV,3,00FFFF
S11Ar2,1,"S11","Le Chateau Duchere --> Gare de Vaise",REG - PRO - NAV - UTV,3,00FFFF
S11Aa1,1,"S11","Gare de Vaise --> Le Chateau Duchere",REG - PRO - NAV - UTV,3,00FFFF
S12Ar2,1,"S12","Croix-Rousse --> Hotel de Ville - L. Pradel",REG - PRO - NAV - UTC,3,00FFFF
S12Aa1,1,"S12","Hotel de Ville - L. Pradel --> Croix-Rousse.",REG - PRO - NAV - UTC,3,00FFFF
S14Aa3,1,"S14","Neuville --> Neuville",REG - PRO - NAV - UTV,3,00FFFF
S14Aa5,1,"S14","Neuville --> Neuville.",REG - PRO - NAV - UTV,3,00FFFF
S14Aa1,1,"S14","Neuville --> Neuville..",REG - PRO - NAV - UTV,3,00FFFF
S15Ar2,1,"S15","Les Sources --> Ecully Le Trouillat",REG - PRO - NAV - UTV,3,00FFFF
S15Aa1,1,"S15","Ecully Le Trouillat --> Les Sources",REG - PRO - NAV - UTV,3,00FFFF
S16Aa1,1,"S16","Ecully Le Perollier --> Collonges Gare",REG - PRS - NAV - UTV,3,00FFFF
S16Ar2,1,"S16","Collonges Gare --> Ecully Le Perollier",REG - PRS - NAV - UTV,3,00FFFF
