from_stop_id,to_stop_id,transfer_type,min_transfer_time
1,2,2,120
3,6,2,120
3,5,2,120
3,10526,2,120
5,10526,2,120
5,6,2,120
6,10526,2,120
15,16,2,120
15,10941,2,120
15,30187,2,240
15,30188,2,240
16,30188,2,240
16,30187,2,240
16,10941,2,120
18,19,2,120
20,21,2,120
24,25,2,120
29,30,2,120
33,34,2,120
39,40,2,120
50,51,2,180
54,55,2,120
65,66,2,120
70,71,2,120
75,76,2,120
77,78,2,120
80,81,2,120
88,89,2,120
90,91,2,120
90,10169,2,120
91,10169,2,120
92,93,2,120
94,95,2,120
96,97,2,120
98,99,2,120
106,32152,2,60
106,32153,2,60
108,109,2,120
110,111,2,120
116,117,2,120
122,123,2,120
124,125,2,120
128,129,2,120
130,131,2,120
130,134,2,120
131,134,2,120
140,30028,2,120
142,143,2,120
159,10429,2,180
159,10920,2,180
159,30103,2,300
159,30201,2,300
159,30202,2,300
159,12289,2,360
159,166,2,360
159,30008,2,360
159,10508,2,360
159,30005,2,360
159,30510,2,360
159,30511,2,360
166,30511,2,180
166,30510,2,180
166,12289,2,180
166,30005,2,120
166,10508,2,120
166,30008,2,120
166,10920,2,360
166,30103,2,180
166,10429,2,360
166,30202,2,180
166,30201,2,180
179,180,2,120
183,185,2,120
190,11528,2,120
191,192,2,120
195,196,2,120
198,10590,2,120
199,200,2,120
202,203,2,120
204,205,2,120
209,210,2,120
211,212,2,120
213,214,2,120
215,216,2,120
219,220,2,120
221,222,2,120
223,224,2,120
239,240,2,120
241,242,2,120
244,45418,2,180
244,45419,2,180
250,30683,2,120
255,10150,2,120
256,32165,2,180
256,11713,2,120
256,32164,2,180
266,267,2,120
268,10239,2,120
268,269,2,120
269,10239,2,120
276,281,2,180
276,46022,2,180
276,46023,2,180
281,46023,2,180
281,46022,2,180
285,286,2,120
289,290,2,120
295,296,2,120
306,307,2,120
310,11390,2,120
311,312,2,120
313,314,2,120
315,316,2,120
317,318,2,120
319,320,2,120
321,322,2,120
323,30397,2,120
323,10942,2,120
323,325,2,120
325,30397,2,120
325,10942,2,120
326,327,2,120
328,329,2,120
333,334,2,120
333,10999,2,120
333,10964,2,120
334,10999,2,120
334,10964,2,120
335,336,2,120
337,338,2,120
339,340,2,120
341,342,2,120
351,10568,2,120
351,11223,2,120
353,354,2,120
355,356,2,120
359,360,2,120
361,12264,2,120
363,364,2,120
365,366,2,120
367,368,2,120
372,373,2,120
374,375,2,120
378,379,2,120
385,386,2,120
387,10792,2,120
389,390,2,120
391,392,2,120
393,394,2,120
395,396,2,120
397,398,2,120
399,400,2,120
401,30518,2,120
404,405,2,120
404,30239,2,120
405,30239,2,120
410,411,2,120
412,10393,2,120
412,10394,2,120
412,413,2,120
413,10394,2,120
413,10393,2,120
425,426,2,120
427,428,2,120
434,42740,2,180
434,46055,2,180
434,435,2,180
434,30472,2,300
434,11810,2,180
435,42740,2,180
435,11810,2,180
435,46055,2,180
435,30472,2,300
440,441,2,120
451,452,2,120
453,454,2,120
459,460,2,120
461,462,2,120
463,464,2,120
466,10906,2,120
473,474,2,120
475,476,2,120
478,479,2,120
482,484,2,120
482,483,2,120
483,484,2,120
490,491,2,120
493,3331,2,120
497,498,2,120
501,502,2,120
508,509,2,120
515,516,2,120
519,520,2,120
521,522,2,120
524,525,2,120
528,30563,2,120
529,530,2,120
531,532,2,120
533,534,2,120
539,540,2,120
546,32131,2,240
546,547,2,120
546,32130,2,240
547,32130,2,240
547,32131,2,240
550,551,2,120
552,10437,2,120
553,554,2,120
555,3427,2,120
555,556,2,120
555,3426,2,120
556,3426,2,120
556,3427,2,120
559,560,2,120
561,562,2,120
563,564,2,180
563,12280,2,180
564,12280,2,180
566,567,2,120
572,573,2,120
574,575,2,120
576,577,2,120
579,581,2,120
583,584,2,120
586,587,2,120
586,31864,2,120
586,32130,2,60
586,32131,2,60
587,32131,2,60
587,32130,2,60
587,31864,2,120
588,589,2,120
592,593,2,120
599,10945,2,120
599,42744,2,180
599,46050,2,180
611,612,2,120
619,620,2,120
621,622,2,120
623,624,2,120
625,626,2,120
631,632,2,120
635,636,2,120
639,640,2,120
641,642,2,120
643,2369,2,240
643,644,2,120
643,11544,2,240
643,11058,2,240
643,2364,2,240
643,2367,2,240
643,30225,2,240
